Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
Resolved,1550,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-09 07:31:05,2023-03-10 07:31:05,2023-03-09 07:33:05,2023-03-09 07:31:46.899,Within SLA,2023-03-09 18:22:37.688,Within SLA,,5.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Closed,1551,High,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-03-09 18:37:17,2023-03-11 18:37:17,2023-03-09 19:37:17,2023-03-09 18:50:07.066,Within SLA,2023-03-10 18:31:50.215,Within SLA,2023-03-15 04:39:09.457,3.0,4.0,Other,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1552,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-09 05:24:36,2023-03-11 05:24:36,2023-03-09 06:24:36,2023-03-09 06:07:16.582,Within SLA,2023-03-10 19:09:51.543,Within SLA,2023-03-10 17:01:09.153,2.0,1.0,Custom software development,Tier 1,Austria,47.6964719,13.3457347
In progress,1553,Medium,Email,Feature request,1st line support,Connor Danielovitch,2023-03-09 22:52:40,2023-03-11 22:52:40,2023-03-09 23:52:40,2023-03-09 22:53:38.525,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Closed,1556,High,Email,Product setup,1st line support,Bernard Beckley,2023-03-09 20:08:56,2023-03-11 20:08:56,2023-03-09 21:08:56,2023-03-09 20:26:57.149,Within SLA,2023-03-10 17:53:36.606,Within SLA,2023-03-11 06:54:20.584,3.0,3.0,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1557,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-09 01:51:28,2023-03-11 01:51:28,2023-03-09 02:51:28,2023-03-09 02:21:02.287,Within SLA,2023-03-11 00:55:05.989,Within SLA,,3.0,,Training and Consulting Services,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1560,High,Email,Feature request,2nd line support,Michele Whyatt,2023-03-10 04:09:11,2023-03-12 04:09:11,2023-03-10 05:09:11,2023-03-10 04:34:11.339,Within SLA,2023-03-11 15:42:37.374,Within SLA,2023-03-13 15:37:11.518,2.0,3.0,Ready to use Software,Tier 2,Austria,47.6964719,13.3457347
Closed,1561,Low,Chat,Feature request,2nd line support,Adolpho Messingham,2023-03-10 17:41:12,2023-03-11 17:41:12,2023-03-10 17:43:12,2023-03-10 17:42:58.940,Within SLA,2023-03-11 03:12:53.991,Within SLA,2023-03-11 18:26:04.263,6.0,3.0,Other,Tier 2,United Kingdom,55.378052,-3.435973
In progress,1562,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-10 00:32:45,2023-03-12 00:32:45,2023-03-10 01:32:45,2023-03-10 01:13:09.458,Within SLA,,SLA Violated,,2.0,,Other,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1563,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-10 00:43:40,2023-03-11 00:43:40,2023-03-10 00:45:40,2023-03-10 00:45:17.711,Within SLA,2023-03-10 14:07:43.309,Within SLA,,3.0,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1565,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-03-10 06:44:13,2023-03-12 06:44:13,2023-03-10 07:44:13,2023-03-10 07:40:30.264,Within SLA,2023-03-10 22:31:11.103,Within SLA,2023-03-13 13:36:51.329,8.0,3.0,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
In progress,1567,Medium,Email,Other,1st line support,Connor Danielovitch,2023-03-11 22:08:57,2023-03-13 22:08:57,2023-03-11 23:08:57,2023-03-11 22:37:09.744,Within SLA,,SLA Violated,,3.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1568,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-11 04:34:35,2023-03-13 04:34:35,2023-03-11 05:34:35,2023-03-11 05:02:24.283,Within SLA,2023-03-12 00:49:06.972,Within SLA,,4.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1573,Low,Email,Product setup,2nd line support,Heather Urry,2023-03-11 01:06:38,2023-03-13 01:06:38,2023-03-11 02:06:38,2023-03-11 01:50:22.194,Within SLA,2023-03-12 00:53:41.562,Within SLA,,2.0,,Ready to use Software,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1574,Medium,Chat,Other,1st line support,Nicola Wane,2023-03-11 15:34:51,2023-03-12 15:34:51,2023-03-11 15:36:51,2023-03-11 15:35:13.796,Within SLA,2023-03-12 09:31:06.952,Within SLA,,6.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1575,High,Email,Feature request,1st line support,Sheela Cutten,2023-03-12 03:04:01,2023-03-14 03:04:01,2023-03-12 04:04:01,2023-03-12 03:31:01.238,Within SLA,2023-03-15 23:42:24.741,SLA Violated,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1576,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-03-12 01:00:06,2023-03-14 01:00:06,2023-03-12 02:00:06,2023-03-12 01:46:15.414,Within SLA,2023-03-12 05:29:28.060,Within SLA,,2.0,,Ready to use Software,Tier 2,Austria,47.6964719,13.3457347
Closed,1577,Medium,Email,Bug report,1st line support,Connor Danielovitch,2023-03-12 19:12:49,2023-03-14 19:12:49,2023-03-12 20:12:49,2023-03-12 19:48:43.328,Within SLA,2023-03-13 03:38:18.000,Within SLA,2023-03-18 07:48:25.482,8.0,3.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1581,Low,Email,Bug report,2nd line support,Michele Whyatt,2023-03-13 15:58:26,2023-03-15 15:58:26,2023-03-13 16:58:26,2023-03-13 16:19:06.640,Within SLA,2023-03-14 23:11:28.327,Within SLA,2023-03-16 15:44:35.472,6.0,4.0,Ready to use Software,Tier 2,Bulgaria,42.7249925,25.4833039
Resolved,1582,Low,Phone,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 11:05:16,2023-03-15 11:05:16,2023-03-13 11:07:16,2023-03-13 11:05:29.359,Within SLA,2023-03-15 09:34:06.827,Within SLA,,3.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Closed,1583,Medium,Chat,Training request,1st line support,Kristos Westoll,2023-03-13 05:33:38,2023-03-14 05:33:38,2023-03-13 05:35:38,2023-03-13 05:35:00.469,Within SLA,2023-03-14 00:01:28.087,Within SLA,2023-03-17 06:57:34.136,3.0,5.0,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639
In progress,1584,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-13 13:19:39,2023-03-14 13:19:39,2023-03-13 13:21:39,2023-03-13 13:20:29.078,Within SLA,,SLA Violated,,9.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1585,Low,Email,Product setup,2nd line support,Michele Whyatt,2023-03-13 21:36:55,2023-03-15 21:36:55,2023-03-13 22:36:55,2023-03-13 22:31:54.634,Within SLA,2023-03-14 19:08:44.063,Within SLA,2023-03-16 16:20:17.353,6.0,2.0,Training and Consulting Services,Tier 2,Slovenia,46.1491664,14.9860106
Open,1586,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-13 17:00:43,2023-03-15 17:00:43,2023-03-13 18:00:43,,SLA Violated,,SLA Violated,,,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1587,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-13 08:21:06,2023-03-15 08:21:06,2023-03-13 09:21:06,2023-03-13 09:04:45.678,Within SLA,2023-03-13 12:09:45.305,Within SLA,2023-03-15 15:22:42.713,8.0,3.0,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1588,Low,Chat,Purchasing and invoicing,2nd line support,Heather Urry,2023-03-13 15:59:29,2023-03-14 15:59:29,2023-03-13 16:01:29,2023-03-13 16:00:41.602,Within SLA,2023-03-15 07:19:23.122,SLA Violated,,4.0,,Ready to use Software,Tier 2,Greece,39.368279,21.863141
Closed,1589,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-13 20:46:16,2023-03-14 20:46:16,2023-03-13 20:48:16,2023-03-13 20:47:36.899,Within SLA,2023-03-14 16:57:25.981,Within SLA,2023-03-16 00:58:51.358,8.0,2.0,Other,Tier 1,Greece,39.368279,21.863141
In progress,1590,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 10:15:38,2023-03-15 10:15:38,2023-03-13 11:15:38,2023-03-13 10:41:30.978,Within SLA,,SLA Violated,,2.0,,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1591,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-13 11:05:15,2023-03-14 11:05:15,2023-03-13 11:07:15,2023-03-13 11:06:20.062,Within SLA,2023-03-13 18:27:01.651,Within SLA,2023-03-14 17:06:17.743,6.0,3.0,Other,Tier 1,Italy,43.036776,12.678565
In progress,1592,Low,Email,Other,1st line support,Sheela Cutten,2023-03-13 07:20:49,2023-03-15 07:20:49,2023-03-13 08:20:49,2023-03-13 08:03:15.696,Within SLA,,SLA Violated,,5.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1593,Medium,Email,Product setup,2nd line support,Michele Whyatt,2023-03-14 09:39:52,2023-03-16 09:39:52,2023-03-14 10:39:52,2023-03-14 10:12:45.716,Within SLA,2023-03-16 06:05:59.955,Within SLA,,1.0,,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Closed,1594,High,Email,Product setup,1st line support,Kristos Westoll,2023-03-14 10:08:38,2023-03-16 10:08:38,2023-03-14 11:08:38,2023-03-14 10:18:39.533,Within SLA,2023-03-14 14:26:38.512,Within SLA,2023-03-21 16:13:27.191,3.0,5.0,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1595,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-14 18:42:04,2023-03-16 18:42:04,2023-03-14 19:42:04,2023-03-14 19:30:38.623,Within SLA,2023-03-16 16:46:56.127,Within SLA,,10.0,,Other,Tier 1,Spain,39.67337,-4.767726
Closed,1596,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-03-14 03:18:49,2023-03-15 03:18:49,2023-03-14 03:20:49,2023-03-14 03:22:14.202,SLA Violated,2023-03-14 04:59:40.195,Within SLA,2023-03-18 12:26:13.628,3.0,3.0,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1597,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-14 19:42:01,2023-03-16 19:42:01,2023-03-14 20:42:01,2023-03-14 20:04:44.438,Within SLA,2023-03-16 01:11:48.731,Within SLA,2023-03-17 22:23:48.526,2.0,5.0,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
Closed,1598,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-03-14 12:18:12,2023-03-16 12:18:12,2023-03-14 13:18:12,2023-03-14 13:01:04.344,Within SLA,2023-03-16 02:47:03.437,Within SLA,2023-03-20 18:49:41.993,4.0,3.0,Other,Tier 1,Italy,43.036776,12.678565
Closed,1599,Medium,Phone,Product setup,1st line support,Kristos Westoll,2023-03-14 10:19:11,2023-03-16 10:19:11,2023-03-14 10:21:11,2023-03-14 10:21:17.022,SLA Violated,2023-03-16 07:07:00.026,Within SLA,2023-03-16 11:08:14.677,3.0,1.0,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1600,Medium,Email,Other,1st line support,Sheela Cutten,2023-03-14 11:12:15,2023-03-16 11:12:15,2023-03-14 12:12:15,2023-03-14 11:37:39.946,Within SLA,2023-03-15 02:27:17.299,Within SLA,2023-03-19 09:35:41.280,2.0,4.0,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1601,Low,Email,Product setup,1st line support,Sheela Cutten,2023-03-15 00:21:06,2023-03-17 00:21:06,2023-03-15 01:21:06,2023-03-15 00:31:00.684,Within SLA,2023-03-16 10:55:59.200,Within SLA,2023-03-17 06:27:00.839,2.0,3.0,Other,Tier 1,Austria,47.6964719,13.3457347
Resolved,1602,High,Email,Feature request,2nd line support,Michele Whyatt,2023-03-15 00:44:09,2023-03-17 00:44:09,2023-03-15 01:44:09,2023-03-15 01:35:42.423,Within SLA,2023-03-16 12:29:39.978,Within SLA,,2.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1603,Medium,Email,Feature request,1st line support,Sheela Cutten,2023-03-15 12:59:00,2023-03-17 12:59:00,2023-03-15 13:59:00,2023-03-15 13:35:21.670,Within SLA,2023-03-20 04:08:16.353,SLA Violated,,10.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1604,High,Email,Product setup,1st line support,Sheela Cutten,2023-03-15 03:33:55,2023-03-17 03:33:55,2023-03-15 04:33:55,2023-03-15 03:48:41.194,Within SLA,,SLA Violated,,9.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1605,High,Phone,Product setup,1st line support,Bernard Beckley,2023-03-15 10:58:56,2023-03-17 10:58:56,2023-03-15 11:00:56,2023-03-15 11:04:40.382,SLA Violated,2023-03-16 02:19:16.651,Within SLA,2023-03-17 08:48:12.345,5.0,3.0,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1606,High,Chat,Bug report,1st line support,Bernard Beckley,2023-03-15 12:11:12,2023-03-16 12:11:12,2023-03-15 12:13:12,2023-03-15 12:12:32.332,Within SLA,2023-03-16 03:56:25.119,Within SLA,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Closed,1607,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-03-15 16:08:07,2023-03-17 16:08:07,2023-03-15 17:08:07,2023-03-15 16:37:57.647,Within SLA,2023-03-17 09:02:37.177,Within SLA,2023-03-19 05:52:28.971,9.0,2.0,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1608,High,Email,Product setup,1st line support,Nicola Wane,2023-03-16 17:09:22,2023-03-18 17:09:22,2023-03-16 18:09:22,2023-03-16 17:58:35.476,Within SLA,2023-03-18 00:10:52.779,Within SLA,2023-03-19 05:58:33.343,1.0,1.0,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1609,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 20:58:03,2023-03-17 20:58:03,2023-03-16 21:00:03,2023-03-16 20:58:16.780,Within SLA,2023-03-17 06:49:58.096,Within SLA,,6.0,,Training and Consulting Services,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1610,Low,Chat,Pricing and licensing,1st line support,Kristos Westoll,2023-03-16 04:46:12,2023-03-17 04:46:12,2023-03-16 04:48:12,2023-03-16 04:46:27.828,Within SLA,2023-03-16 12:23:46.602,Within SLA,2023-03-19 16:08:47.925,8.0,3.0,Ready to use Software,Tier 1,France,48.864716,2.349014
Closed,1611,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-16 18:51:53,2023-03-18 18:51:53,2023-03-16 19:51:53,2023-03-16 19:21:33.880,Within SLA,2023-03-17 05:58:32.335,Within SLA,2023-03-23 06:20:21.666,9.0,3.0,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1612,High,Chat,Bug report,1st line support,Connor Danielovitch,2023-03-16 02:30:07,2023-03-17 02:30:07,2023-03-16 02:32:07,2023-03-16 02:31:43.191,Within SLA,2023-03-16 09:24:10.161,Within SLA,,4.0,,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1613,Medium,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-16 15:56:22,2023-03-17 15:56:22,2023-03-16 15:58:22,2023-03-16 15:56:36.025,Within SLA,2023-03-17 03:32:42.529,Within SLA,2023-03-19 08:11:35.201,4.0,4.0,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1614,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-16 18:30:18,2023-03-18 18:30:18,2023-03-16 19:30:18,2023-03-16 21:29:31.442,SLA Violated,2023-03-17 12:24:43.722,Within SLA,,2.0,,Custom software development,Tier 1,France,48.864716,2.349014
Closed,1615,Medium,Email,Training request,1st line support,Connor Danielovitch,2023-03-16 13:15:46,2023-03-18 13:15:46,2023-03-16 14:15:46,2023-03-16 13:16:49.141,Within SLA,2023-03-17 20:06:43.772,Within SLA,2023-03-21 22:32:53.402,1.0,5.0,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
Resolved,1616,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 06:25:19,2023-03-18 06:25:19,2023-03-16 07:25:19,2023-03-16 06:26:38.518,Within SLA,2023-03-16 09:04:16.819,Within SLA,,1.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1617,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-16 12:36:44,2023-03-18 12:36:44,2023-03-16 13:36:44,2023-03-16 12:49:57.352,Within SLA,2023-03-16 23:25:32.822,Within SLA,,1.0,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1618,Medium,Email,Product setup,1st line support,Bernard Beckley,2023-03-17 02:32:50,2023-03-19 02:32:50,2023-03-17 03:32:50,2023-03-17 03:00:06.723,Within SLA,2023-03-22 03:02:30.497,SLA Violated,2023-03-24 01:48:54.840,6.0,5.0,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1619,Low,Email,Product setup,1st line support,Kristos Westoll,2023-03-17 10:58:28,2023-03-19 10:58:28,2023-03-17 11:58:28,2023-03-17 11:04:56.385,Within SLA,2023-03-23 00:12:07.025,SLA Violated,,6.0,,Other,Tier 1,Austria,47.6964719,13.3457347
Resolved,1626,High,Email,Feature request,1st line support,Nicola Wane,2023-03-18 00:21:14,2023-03-20 00:21:14,2023-03-18 01:21:14,2023-03-18 00:33:52.288,Within SLA,2023-03-18 14:39:42.480,Within SLA,,2.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1627,Low,Email,Product setup,1st line support,Sheela Cutten,2023-03-18 06:34:51,2023-03-20 06:34:51,2023-03-18 07:34:51,2023-03-18 07:05:21.150,Within SLA,2023-03-20 05:12:27.660,Within SLA,2023-03-21 02:40:49.149,2.0,4.0,Training and Consulting Services,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1628,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-18 08:08:35,2023-03-20 08:08:35,2023-03-18 09:08:35,2023-03-18 09:00:07.414,Within SLA,2023-03-20 04:11:32.390,Within SLA,,7.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1629,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-18 23:00:11,2023-03-19 23:00:11,2023-03-18 23:02:11,2023-03-18 23:01:33.995,Within SLA,2023-03-19 08:24:56.256,Within SLA,2023-03-25 02:09:45.781,6.0,4.0,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1630,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-03-18 08:59:42,2023-03-20 08:59:42,2023-03-18 09:01:42,2023-03-18 09:01:39.934,Within SLA,2023-03-18 15:41:58.960,Within SLA,,2.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1631,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 18:00:21,2023-03-21 18:00:21,2023-03-19 18:02:21,2023-03-19 18:04:12.913,SLA Violated,,SLA Violated,,1.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1632,Low,Email,Feature request,1st line support,Sheela Cutten,2023-03-19 21:00:31,2023-03-21 21:00:31,2023-03-19 22:00:31,2023-03-20 01:55:47.901,SLA Violated,2023-03-21 13:11:42.073,Within SLA,,2.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1633,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-19 14:00:56,2023-03-21 14:00:56,2023-03-19 15:00:56,2023-03-19 14:44:57.403,Within SLA,2023-03-20 12:31:49.433,Within SLA,2023-03-22 21:20:44.488,4.0,5.0,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1634,Medium,Chat,Other,1st line support,Sheela Cutten,2023-03-19 22:55:52,2023-03-20 22:55:52,2023-03-19 22:57:52,2023-03-19 23:00:30.437,SLA Violated,2023-03-21 06:46:47.234,SLA Violated,2023-03-21 22:25:45.004,6.0,4.0,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1635,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-19 22:09:59,2023-03-21 22:09:59,2023-03-19 23:09:59,2023-03-19 22:28:36.863,Within SLA,2023-03-20 11:03:42.510,Within SLA,2023-03-22 04:18:02.024,5.0,5.0,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1636,Low,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-19 22:50:17,2023-03-20 22:50:17,2023-03-19 22:52:17,2023-03-19 22:50:35.148,Within SLA,2023-03-20 17:39:07.038,Within SLA,2023-03-24 19:58:48.694,5.0,3.0,Custom software development,Tier 1,Greece,39.368279,21.863141
In progress,1637,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 12:53:48,2023-03-21 12:53:48,2023-03-19 12:55:48,2023-03-19 12:59:45.144,SLA Violated,,SLA Violated,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Closed,1638,Medium,Email,Feature request,1st line support,Nicola Wane,2023-03-20 13:23:05,2023-03-22 13:23:05,2023-03-20 14:23:05,2023-03-20 14:05:28.060,Within SLA,2023-03-22 08:53:29.426,Within SLA,2023-03-26 10:19:09.243,2.0,3.0,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1639,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-20 19:10:24,2023-03-22 19:10:24,2023-03-20 20:10:24,2023-03-20 19:28:28.082,Within SLA,,SLA Violated,,1.0,,Other,Tier 2,Germany,51.165691,10.451526
Resolved,1640,High,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-20 07:20:34,2023-03-22 07:20:34,2023-03-20 07:22:34,2023-03-20 07:21:27.226,Within SLA,2023-03-20 17:57:46.341,Within SLA,,3.0,,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1641,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-03-20 22:27:49,2023-03-22 22:27:49,2023-03-20 23:27:49,2023-03-20 22:37:30.389,Within SLA,2023-03-21 12:54:25.015,Within SLA,,10.0,,Other,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1642,Low,Phone,Product setup,2nd line support,Adolpho Messingham,2023-03-20 16:27:35,2023-03-22 16:27:35,2023-03-20 16:29:35,2023-03-20 16:28:37.582,Within SLA,2023-03-22 03:58:27.124,Within SLA,2023-03-21 11:47:51.601,3.0,2.0,Training and Consulting Services,Tier 2,United Kingdom,55.378052,-3.435973
Closed,1643,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-03-20 21:49:15,2023-03-21 21:49:15,2023-03-20 21:51:15,2023-03-20 21:49:18.243,Within SLA,2023-03-21 18:09:34.269,Within SLA,2023-03-27 02:31:49.859,6.0,3.0,Custom software development,Tier 1,Spain,39.67337,-4.767726
Closed,1644,Low,Email,Feature request,1st line support,Sheela Cutten,2023-03-20 01:25:09,2023-03-22 01:25:09,2023-03-20 02:25:09,2023-03-20 02:23:01.777,Within SLA,2023-03-21 21:04:22.862,Within SLA,2023-03-23 12:14:20.275,2.0,3.0,Other,Tier 1,Spain,39.67337,-4.767726
Closed,1645,Medium,Email,Bug report,1st line support,Connor Danielovitch,2023-03-20 18:36:23,2023-03-22 18:36:23,2023-03-20 19:36:23,2023-03-20 19:32:38.909,Within SLA,2023-03-20 19:28:53.303,Within SLA,2023-03-25 11:04:25.169,5.0,4.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1646,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-21 19:11:31,2023-03-23 19:11:31,2023-03-21 20:11:31,2023-03-21 20:10:44.568,Within SLA,2023-03-23 13:08:32.247,Within SLA,2023-03-25 01:06:59.698,1.0,3.0,Custom software development,Tier 1,France,48.864716,2.349014
Closed,1647,Low,Chat,Feature request,2nd line support,Michele Whyatt,2023-03-21 00:03:07,2023-03-22 00:03:07,2023-03-21 00:05:07,2023-03-21 00:03:37.789,Within SLA,2023-03-21 14:27:49.171,Within SLA,2023-03-21 20:08:10.747,6.0,3.0,Ready to use Software,Tier 2,Poland,52.536273,19.050639
Closed,1648,High,Phone,Product setup,2nd line support,Heather Urry,2023-03-21 08:43:34,2023-03-23 08:43:34,2023-03-21 08:45:34,2023-03-21 08:43:51.873,Within SLA,2023-03-26 13:07:36.176,SLA Violated,2023-03-27 16:18:22.233,3.0,4.0,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1649,Low,Chat,Training request,1st line support,Kristos Westoll,2023-03-21 10:42:02,2023-03-22 10:42:02,2023-03-21 10:44:02,2023-03-21 10:44:07.589,SLA Violated,2023-03-22 10:23:14.420,Within SLA,,9.0,,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
In progress,1650,Medium,Email,Other,1st line support,Bernard Beckley,2023-03-22 04:26:56,2023-03-24 04:26:56,2023-03-22 05:26:56,2023-03-22 05:00:29.936,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
Resolved,1651,Low,Email,Feature request,1st line support,Bernard Beckley,2023-03-22 00:13:36,2023-03-24 00:13:36,2023-03-22 01:13:36,2023-03-22 00:53:11.162,Within SLA,2023-03-23 02:09:22.763,Within SLA,,6.0,,Other,Tier 1,Greece,39.368279,21.863141
Closed,1652,Medium,Chat,Feature request,2nd line support,Heather Urry,2023-03-22 05:00:47,2023-03-23 05:00:47,2023-03-22 05:02:47,2023-03-22 05:02:37.453,Within SLA,2023-03-22 14:19:01.928,Within SLA,2023-03-27 22:56:13.924,6.0,3.0,Custom software development,Tier 2,Austria,47.6964719,13.3457347
Resolved,1653,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-22 01:30:24,2023-03-24 01:30:24,2023-03-22 02:30:24,2023-03-22 02:17:00.818,Within SLA,2023-03-22 05:08:56.316,Within SLA,,2.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
Closed,1654,High,Email,Product setup,2nd line support,Heather Urry,2023-03-22 07:55:34,2023-03-24 07:55:34,2023-03-22 08:55:34,2023-03-22 08:43:58.021,Within SLA,2023-03-23 12:08:02.697,Within SLA,2023-03-26 09:47:14.007,8.0,2.0,Custom software development,Tier 2,United Kingdom,55.378052,-3.435973
Closed,1655,Low,Email,Product setup,1st line support,Connor Danielovitch,2023-03-22 18:21:14,2023-03-24 18:21:14,2023-03-22 19:21:14,2023-03-22 23:06:14.951,SLA Violated,2023-03-23 10:11:34.410,Within SLA,2023-03-28 09:44:24.901,3.0,4.0,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1656,Low,Email,Product setup,2nd line support,Adolpho Messingham,2023-03-23 06:03:44,2023-03-25 06:03:44,2023-03-23 07:03:44,2023-03-23 06:50:19.124,Within SLA,2023-03-26 03:52:10.249,SLA Violated,2023-03-27 05:44:59.781,6.0,5.0,Ready to use Software,Tier 2,Bulgaria,42.7249925,25.4833039
